,가수,제목,가사
0,Various Artists,바다에 누워 ('85 제9회 MBC대학가요제 대상),나 하나의 모습으로 태어나 바다에 누워 해 저문 노을을 바라다 본다 설익은 햇살에 젖은 파도는 눈물인듯 씻기워 간다 일말의 눈부심이 가라앉고 밀물의 움직임 속에 뭇 별도 제각기 누워 잠잔다 마음은 물결처럼 흘러만 간다 저 바다에 누워 외로운 물새 될까 물살의 깊은 속을 항구는 알까 저 바다에 누워 외로운 물새 될까 물살의 깊은 속을 항구는 알까 나 하나의 모습으로 태어나 바다에 누워 해 저문 노을을 바라다 본다 설익은 햇살에 젖은 파도는 눈물인듯 씻기워 간다 일말의 눈부심이 가라앉고 밀물의 움직임 속에 뭇 별도 제각기 누워 잠잔다 마음은 물결처럼 흘러만 간다 저 바다에 누워 외로운 물새 될까 물살의 깊은 속을 항구는 알까 저 바다에 누워 외로운 물새 될까
1,김인호,술만 마시면 노래방,오늘도 친구와 술을 한잔하고서 돌아오는 길에 들어갔던 노래방 그냥 옆방 노래 들었어 10분이 지난후 마이크를 들고서 노래를 불렀어 근데 눈물이 나서 눈감고 흐느끼듯 부르는 노래가 바로 너야 이 노래 추억이 있어서 술만 마시면 내가 불러주면 좋아했었던 그 노래를 부르고 또 부르잖아 알지만 더는 볼 수 없는 너라는 것을 알아 혹시 니가 들을 수도 있어서 아무도 없는 곳 혼자서 울고싶어 그래서 찾아온 이곳 노래방에서 몇곡을 반복해서 부르고 부르며 너를 찾아 술취해 눈물로 부른다 술만 마시면 내가 불러주면 좋아했었던 그 노래를 부르고 또 부르잖아 알지만 더는 볼 수 없는 너라는 것을 알아 혹시 니가 들을 수도 있어서 조금씩 술이 깬듯해 거울속 헝클어진 나 이렇게 살아야하니 너를 놓을 수가 없어 술만 마시면 내가 불러주면 좋아했었던 그 노래를 부르고 또 부르잖아 알지만 더는 볼 수 없는 너라는 것을 알아 혹시 니가 들을 수도 있어서
2,김유하&이솔로몬,난 너에게,난 네가 기뻐하는 일이라면 뭐든지 할 수 있어  난 네가 좋아하는 일이라면 뭐든지 할 수 있어  별보다 예쁘고 꽃보다 더 고운 나의 친구야 이 세상 다 주어도 바꿀 수 없는 나의 친구야  네 곁에 있으면 사랑은 내꺼 네 곁에 있으면 세상도 내꺼  난 네가 기뻐하는 일이라면 뭐든지 할 수 있어  난 네가 좋아하는 일이라면 뭐든지 할 수 있어 난 네가 기뻐하는 일이라면 뭐든지 할 수 있어  난 네가 좋아하는 일이라면 뭐든지 할 수 있어  별보다 예쁘고 꽃보다 더 고운 나의 친구야 이 세상 다 주어도 바꿀 수 없는 나의 친구야  네 곁에 있으면 사랑은 내꺼 네 곁에 있으면 세상도 내꺼  난 네가 기뻐하는 일이라면 뭐든지 할 수 있어  난 네가 좋아하는 일이라면 뭐든지 할 수 있어  난 네가 좋아하는 일이라면 뭐든지 할 수 있어
3,박창근,이미 나에게로,이 꿈이 멎어버린 순간에 난 깨닫고 널 생각해 어쩜 난 너에 힘겨움을 함께 짊어지고 갈 수 있어 할 말이 많기도 하고 목소리도 그리워 전화를 했어 씁쓸한 목소리가 들리고 난 미안함에 당황도 했어 난 너무 힘들어서 그런 이유로 만나기 미안해 둘이 할 때는 너만을 생각하려 했는데 문득 어떤 고민에 널 앞에 두고 뭐가 그리 힘들어 내 미래에 완성속에 있는 너인데 이미 나에게로하여 집착하게 만든 넌 방황에 지쳐 쓰러져 버린 내가 다시 일어서는 모습 생각하며 날 찾을 수 있니 이미 나에게로하여 집착하게 만든 넌 실패에 주저앉은 처참한 날 본 후 다시 용기 얻는 모습 생각하며 날 사랑해 줄 수 있겠니 이미 나에게로하여 집착하게 만든 넌 방황에 지쳐 쓰러져 버린 내가 다시 일어서는 모습 생각하며 날 찾을 수 있니 이미 나에게로하여 집착하게 만든 넌 실패에 주저앉은 처참한 날 본 후 다시 용기 얻는 모습 생각하며 날 사랑해 줄 수 있겠니
4,박효신,이름 모를 새,어느 늦은 밤 버릇처럼 나 고갤 들고서 저 하늘에 울어 달이 밝아서 눈이 부셔서 오늘따라 유난히 슬퍼 어슴푸레 찾아온 새벽에 조심스레 우는 이름 모를 새처럼 지저귀듯 그대를 부르다 기억으로 날갯짓을 해 하나도 버릴게 없는 우리의 사랑 아까워도 끝내 잊혀진다는 이별 하지만 못 다한 말이 너무나 내 안에 남아서 걸음을 묶어 기다려 그대 사진에 그때 웃음에 얼룩이 늘어 내 눈물 때문에 너무 흘러서 또 닦고 닦아서 해져버린 그대 그리워 선명하게 모두 다 생각나 세상 어떤 것보다 더 예쁜 기억들 시간 속에 먼지가 되는 날 사라질까 봐 두려워져 정말 하나도 버릴게 없는 우리의 사랑 아까워도 끝내 잊혀진다는 이별 하지만 못 다한 말이 너무나 내 안에 남아서 걸음을 묶어  하나도 버릴게 없는 우리의 사랑 아까워도 끝내 잊혀진다는 이별 하지만 못 다한 말이 너무나 내 안에 남아서 걸음을 묶어 기다려
5,헨,푹,사랑할 수 없는 이유가 있을까 이렇게 눈앞에 있는데도 사랑할 수 없는 이유가 있을까 같은 하늘을 볼 수 있는데도 무지개가 좋은 이유를 생각한적 있나 은하수가 좋은 이유를 생각한적 있나 그냥 그렇게 푹 빠져버렸나 봐 너에게 이렇게 푹 빠져버렸나 봐 너에게 음 무지개가 좋은 이유를 생각한적 있나 은하수가 좋은 이유를 생각한적 있나 그냥 그렇게 푹 아 빠져버렸나 봐 너에게 이렇게 푹 우 빠져버렸나 봐 너에게 말로는 설명할 수 없는 너무 커버린 내 맘은 그냥 이렇게 푹 우 아 빠져버렸나 봐 푹 우 우 푹
6,혜은이,새벽비,새벽비가 주룩주룩 철길을 적시네 새벽비가 주룩주룩 지붕을 적시네 삑삑삑삑 기적이 울리면 이제 정말 나는 갑니다 새벽비가 주룩주룩 창문을 적시네 새벽비가 주룩주룩 얼굴을 적시네 삑삑삑삑 여음을 남기고 새벽차는 떠나갑니다 아 사랑하고 있는데 아 내 마음 어디로 가나 비를 뚫고 칙칙칙칙 기차는 달려가네 정을 두고 칙칙칙칙 한없이 달려가네 삑삑삑삑 메아리를 남기고 이제 정말 나는 갑니다  아아 아아아 사랑하고 있는데 아아 아아아 내 마음 어디로 가나 비를 뚫고 칙칙칙칙 기차는 달려가네 정을 두고 칙칙칙칙 한없이 달려가네 삑삑삑삑 메아리를 남기고 이제 정말 나는 갑니다 이제 정말 나는 갑니다 이제 정말 나는 갑니다 이제 정말 나는 갑니다 이제 정말 나는 갑니다
7,윤종신,즉흥여행 (Feat. MC몽),Yo 넌 영원한 슈퍼스타 불을 붙인 가슴에 뜨거운 내 가슴에 날 안아줘 꽉 안아줘 넌 영원한 슈퍼스타 No way But crazy my heart You make me crazy my girl 날 사랑한다고 말해줘 느끼고 싶어 모든 걸 불을 붙인 가슴에 뜨거운 내 가슴에 날 안아줘 꽉 안아줘 넌 영원한 슈퍼스타 날 사랑한다고 해줘 그리고 떠나는 거야 어디가 되던 너만 있으면 돼 서둘러 날 믿는다고 말해줘 숨 막히는 세상 잠깐 등질 수 있니 내 손 잡고 달려 맞바람을 마셔보자 오랜 나의 고민 다 날려본다 우리 사랑이면 준비 끝 무슨 짐이 또 필요해 세상 어디든 떠날 곳 달려 가슴이 벅차오르게 생각만 해도 떨리는 출발의 이 느낌 아무것도 필요 없어 나와 떠나줘 아침에 일어나 커피 한잔 만 해줘 평생을 내 옆에서 그냥 웃어줘 모든 걸 다 줄게 사랑한다고 말해줘 날 사랑한다고 해줘 그리고 만드는 거야 시간이 흘러 돌아보면 짜릿한 추억 날 최고라고 말해줘 숨 막히는 세상 움츠려든 나에게 크게 소리 질러 맞바람을 마셔보자 오랜 나의 고민 다 날려본다 우리 사랑이면 준비 끝 무슨 짐이 또 필요해 세상 어디든 떠날 곳 달려 가슴이 벅차오르게 생각만 해도 떨리는 출발의 이 느낌 돌아올 땐 피곤해 의자 모두 젖힌 채 세상모르게 잠들지 몰라도 너와 나의 두 손은 살며시 포개진 채 아직도 꿈 속에선 그 곳이야 Yo 넌 영원한 슈퍼스타 아무것도 필요 없어 나와 떠나줘 아침에 일어나 커피 한잔 만 해줘 평생을 내 옆에서 그냥 웃어줘 모든 걸 다 줄게 넌 영원한 슈퍼스타 달려 가슴이 벅차오르게 생각만 해도 떨리는 출발의 이 느낌 생각만 해도 떨리는 이 느낌
8,박보영,나의 왕자님 (My Prince),밤새도록 창밖에 햇님이 뜨길 기다려요 아침이오면 그사람은 만날 수 있으니까요 고마워요 내 손 잡아줘서 고마워요 내 눈 바라봐서 고마워요 내가 그리던 왕자님 이렇게 내 앞에 나타나줘서 하루종일 하늘에 달님이 뜨길 기다려요 한밤이 오면 당신과 이야길 할 수 있으니까요 잊지마요 우리의 약속들을 잊지마요 우리의 비밀들을 잊지마요 내가 당신의 눈빛에 얼마나 가슴이 뛰었었는지
9,시적화자,우린 조심스러울 필요가 있죠,괜히 부담 줘서 미안해요 글쎄 마음이 제멋대로예요 아녜요 내가 바보인 걸요 그대 마음을 몰라주니까요 우린 조심스러울 필요가 있죠 서로 가진 상처가 참 많아서 본의 아니게 그대 마음을 아프게 할까 봐요 우리가 아닌 모든 사람들도 이런 과정을 모두 거쳤겠죠 그래서 사랑은 어려운가 봐요 다시금 고민하고 또 고민해 봐도 혼자 주책이라고 또 웃어봐도 나도 모르는 사이에 마음이 당신에게 기울어 있죠 아무도 내 마음 알아주지 않을 때 고민하지 않은 채로 날 따뜻하게 안아주었던 그대에게 굳이 나 특별해지고 싶나 봐요 우린 조심스러울 필요가 있죠 서로 가진 상처가 참 많아서 본의 아니게 그대 마음을 아프게 할까 봐요 우리가 아닌 모든 사람들도 이런 과정을 모두 거쳤겠죠 그래서 사랑은 어려운가 봐요 너무 이르진 않겠죠 또 아프고 싶지 않아요 억지스러울 필욘 없죠 그래서 힘든가 봐요 우린 조심스러울 필요가 있죠 서로 가진 상처가 참 많아서 본의 아니게 그대 마음을 아프게 할까 봐요 우리가 아닌 모든 사람들도 이런 과정을 모두 거쳤겠죠 그래서 사랑은 어려운가 봐요
