,가수,제목,가사
149,The One (더원),잘 있나요,"잘 있나요 나의 사랑아
눈물이 난다 또 하늘을 본다
바라봐도 추억이 흐른다
니가 없는 하루가 너무 아프다
차 오르는 그리움도
사랑이 운다 바람에 날린다
구름 되어 그 길을 따라가
나 이렇게 먼 곳에서 바라 본다
잊지 말라던 그대
내 눈물아 슬픈 추억아 보고
싶은 그런 사랑아
언제나 같은 하늘 아래 그려
본다 그래 나 이렇게
아픔에 살아
하루가 지나가도 하루가 다시
오는 슬픔
죽을 만큼 힘들잖아 나의 사랑
내 눈물아 슬픈 추억아 보고
싶은 그런 사랑아
언제나 같은 하늘아래 그려
본다 그래 나 이렇게 아픔에 살아
니가 없이 가끔 울것 같은데
아파도 슬퍼도 너를 생각해
잘 있나요 나의 사랑아 보고
싶은 나의 사랑아
언제나 같은 하늘 아래 그려
본다 그래 나 이렇게 아픔에 살아
오늘도 그렇게 아픔에 산다"
150,Various Artists,슬픈인연,[가사 준비중]
151,닐로(Nilo),애써,"여전히 많은 생각들이
그댈 힘들게 하나 봐요
우리 영원토록
늘 함께 하잔 약속이
그대에겐 뭔가요
사랑해요 사랑해요
아무것도 나
바라지 않아요
그대만을 사랑해요
한 순간도 그대 없이는
아무 생각도 하지 않고
하루를 지내보려 하죠
애써 괜찮은 척
나 웃어보려 해봐도
자꾸 맘이 우네요
사랑해요 사랑해요
아무것도 나
바라지 않아요
그대만을 사랑해요
한 순간도 그대 없이는
안돼요 난 안되죠
아무 의미가 없죠
그토록 바래온
사랑이었는데
아무렇지 않은 표정으로
말하지 마요
그대 없인 순간도
버틸 수 없어
사랑해 사랑해요
그대 맘이 날
바라지 않아도
그대만을 사랑해요
한 순간도 그대 없이는
안돼요"
152,전영록,사랑.. 너 때문에,"사랑하고 있어
내 심장까지
주고 싶은 너기에
한 방울 터뜨린
내 눈물조차 너의 것인데
이젠 미련 없이 떠나려고 해
더 억지로는 안 될 사랑이기에
내 빈자리 다 채워줄
너를 믿었는데
왜 연락 한번 못했던 거야
사랑 너 때문에 울어야 했어
내 사랑 너 때문에 웃기도 했지
돌아와 나 너 없이
더는 살 수 없어
다시 사랑할 수 밖에 없는 너
널 죽을 만큼 사랑했지만
이젠 미련 없이 떠나려고 해
더 억지로는 안 될 사랑이기에
내 빈자리 다 채워줄
너를 믿었는데
왜 연락 한번 못했던 거야
사랑 너 때문에 울어야 했어
내 사랑 너 때문에 웃기도 했지
돌아와 나 너 없이
더는 살 수 없어
다시 사랑할 수 밖에 없는 너
사랑 너 때문에 울어야 했어
내 사랑 너 때문에 웃기도 했지
돌아와 나 너 없이
더는 살 수 없어
다시 사랑할 수 밖에 없는 너
사랑 너 때문에 울어야 했어"
153,JUNIEL,편지,"이젠 익숙한 이 거리 속에서
떠다니고 있는 수많은 감정들은
말없이 나를 스쳐 지나가고
난 어느새 추억을 쫓아가고 있어
한 해의 시작을 함께했었고
행복했던 기억 속에
어느 곳을 봐도 내 옆엔 네가 서 있어
어째서 우리는 이렇게 돼버렸지
사계절을 지나 예쁜 꽃을 피우고
우리가 처음 만났던 그 날
그곳에 다시 한 번만 네가 서 있기를
말해줬잖아 마지막 사랑이라고
사실 나는 좀 잘 지내고 있어
별다르지 않은 똑같은 일상 속을
다만 숨 쉴 때 무언가를 볼 때
아니 나의 존재 자체가
너무나도 낯설다
당연한 듯 너와 나는 만났고
당연한 듯 사랑했고
당연한 듯 항상 내 옆엔 네가 있었어
지금 이 노래 너는 알고 있겠지
다른 봄을 만나 내가 흐려진대도
우리가 행복했었던 그 날
그곳엔 항상 네 곁엔 내가 서 있기를
말해줬잖아 나와 늘 걷고 싶다고
눈부신 우리는 여기까지라 해도
조금 어른이 된 너와 내가
그곳에 당연한 듯이 함께 서 있기를
말했었잖아"
154,범키,돌아가도 돼,"어떤 말로 시작해야 할지
어떻게 생각할지
나도 이젠 알 수 없어서
너도 이젠 너무 힘들잖아
돌아가고 싶다고 말했지
눈 감으면 갈 수 있을 것 같아서
난 닫았어 널 찾아 다녀야 했어
돌아가도 돼 널 찾을 수 있다면
들어와도 돼 네가 쉴 수 있다면
넌 행복해야 해 비교될 수 없게
그렇게 내가 지켜줘야 해
돌아갈 수 있다고 말해줘
손 닿으면 갈 수 있을 것 같아서
널 잡았어 널 찾아 다녔어
돌아가도 돼 널 찾을 수 있다면
들어와도 돼 네가 쉴 수 있다면
넌 행복해야 해 비교될 수 없게
그렇게 내가 지켜줘야 해
돌아가도 돼 널 찾을 수 있다면
들어와도 돼 네가 쉴 수 있다면
넌 행복해야 해 비교될 수 없게
그렇게 내가 지켜줘야 해
널 지키고 있다고 생각했어
그땐 어렸어
네가 나를 지켜주고 있단 걸
너 때문이란 걸 이제야 느껴
돌아가도 돼 널 찾을 수 있다면
들어와도 돼 네가 쉴 수 있다면
넌 행복해야 해 비교될 수 없게
그렇게 내가 지켜줘야 해"
155,성시경,니 곁이라면,"단 한 번에 알게 되는 일
마음이 알아채는 일
너는 참 분명하게 반짝거려서
이만큼은 설레고 이만큼은 겁이 나
소중한 건
가끔 사람을 머뭇거리게 해
어쩌면 그렇게 아프게 웃을까
가만히 널 바라보다 난 말야
되고픈 게 많아져
내가 너의 곁이 될 수 있다면
너의 모든 밤과 모든 낮에
그냥 함께할 수 있다면
숨을 쉴 때마다 나아질 텐데
걷는 걸음마다 좋을 텐데
아파도 그곳이 니 곁이라면
쉽지 않은 곳이라는 걸
알아도 가고 싶은 걸
저만치 너란 길은 너무 예뻐서
한 발짝 다가서면 한 발짝 뒷걸음쳐
너무 빛나는 건
자꾸 날 서성거리게 해
나누고 싶은 건 너의 그 슬픔들
가만히 널 떠올리면 난 말야
하고픈 게 많아져
하루 종일 너를 바라봤으면
한순간도 놓치지 않도록
니가 나의 세상이니까
눈을 깜빡일 때마다 그리워
고개 돌릴 때마다 생각나
니가 있는 곳에 나도 있다면
첨으로 지키고 싶은 게 생겨
잠시 너를 안고 있으면 말야
내가 너의 곁이 될 수 있다면
너의 모든 밤과 모든 낮에
그냥 함께할 수 있다면
숨을 쉴 때마다 나아질 텐데
걷는 걸음마다 좋을 텐데
아파도 그곳이 니 곁이라면"
156,루나 (LUNA),아프고 아파도,"오늘은 아플 것 같아
나 많이 울 것만 같아
사랑했던 널 보내야 하니까
함께 울고 웃던 날이
자꾸만 생각이 나서
서운하고 가슴이 아파
너무 미안해 하지마
슬픈 표정도 짓지 마
이런 내가 더 미안해지잖아
다만 니가 걱정돼서
내가 없이 살 너라서
꼭 부탁하고 싶은 게 있어
제발 아프지 말고
제발 울지도 말고
속상하다고
술 많이 마시지도 말고
귀찮아도 밥 거르지 말고
혹시라도 내 생각나도
전화하지 말고
말은 하지 않아도
괜찮은 척 웃어도
내가 가슴 아플 줄
니가 더 잘 알면서
사랑했다는 말 한번쯤은
할 수 있잖아
이런 게 이별인가 봐
나 먼저 일어서 줄게
나 먼저 돌아서 줄게
그래야 니가 맘 편해지잖아
그래도 날 불러주면
달려와 꼭 안아주면
나 후회없이 갈 수 있잖아
제발 아프지 말고
제발 울지도 말고
속상하다고
술 많이 마시지도 말고
귀찮아도 밥 거르지 말고
혹시라도 내 생각나도
전화하지 말고
말은 하지 않아도
괜찮은 척 웃어도
내가 가슴 아플 줄
니가 더 잘 알면서
사랑했다는 말 한번쯤은
할 수 있잖아
이런 게 이별인가 봐
정말 사랑했는데
너무 사랑했는데
눈부신 추억들이
자꾸 날 아프게 해
니가 보고싶으면
어떻게 해야 하는지
사랑이 떠나가나 봐"
157,요아리,걷고 싶다,"이런 날이 있지 물 흐르듯 살다가
행복이 살에 닿은 듯이 선명한 밤
고단한 나의 걸음이 언제나 돌아오던
고요함으로 사랑한다 말해주던
오 나의 사람아
난 널 안고 울었지만
넌 나를 품은 채로 웃었네
오늘 같은 밤엔
전부 놓고 모두 내려놓고서
너와 걷고 싶다 너와 걷고 싶어
소리내 부르는 봄이 되는
네 이름을 크게 부르며
보드라운 니 손을 품에 넣고서
불안한 나의 마음을 언제나 쉬게 했던
모든 것이 다 괜찮을 거야
말해주던 오 나의 사람아
난 널 안고 울었지만
넌 나를 품은 채로 웃었네
오늘 같은 밤엔 전부 놓고
모두 내려놓고서
너와 걷고 싶다 너와 걷고 싶어
네 이름을 크게 부르며
보드라운 니 손을 품에 넣고서"
158,슈가볼 (Sugarbowl),change me,"내 습관 말투 행동 네가 바꾸고 있어
변하지 않을 것 같던 내 모든 걸
기대하지 않은 미래를 이제 꿈꾸고 있어
내 옆에 있어줘 나를 좀 더 바꿔줘
change me
처음부터 알았어 난 너에게
질 수 밖에 없단 걸
화를 내지도 않잖아 나에게
그냥 너만 보면 내가 져
글자만 봐도 좋아 네 문자
메시지를 보고 또 보고 혼자 웃어
웃기만 해도 좋아 네 얼굴
어쩜 이렇게 또 넌 나를
이상한 사람이 되게 해
내 습관 말투 행동 네가 바꾸고 있어
변하지 않을 것 같던 내 모든 걸
기대하지 않은 미래를 이제 꿈꾸고 있어
내 옆에 있어줘 나를 좀 더 바꿔줘
change me
멀리서 널 보고 난 달려가
세게 너를 품에 안고서 조금 있을래
널 매일 웃게 만들고 싶어
어쩜 이렇게 또 넌 내게
새로운 삶을 살게 해
내 습관 말투 행동 네가 바꾸고 있어
변하지 않을 것 같던 내 모든 걸
기대하지 않은 미래를 이제 꿈꾸고 있어
내 옆에 있어줘 나를 좀 더 바꿔줘
change me
멍청한 내 모습도 괜찮을 것 같아
너랑 이렇게 보낼 수만 있다면
쌓여가는 시간들이 내겐 모두 소중해
계속 옆에 있어줘 나를 좀 더 바꿔줘
change me"
159,김나영,내 빛바랜 날들,"저 지나간 사랑 한곳에 멈춰진 그대여
그저 한숨만 후회로 가득 찬 시선은 내 마음에

오오 너 제발
내 가려진 기억 속엔
넌 말했잖아 네 삶의 큰 이유라고

오오 너 부디
다른 사람을 기억할 때
철없던 나를 다그치던 날 지워내줘 uh


내 빛바랜 날들도 상처도
기나긴 시간에 멈춰버린 의미도 추억도
날선 네 말들에 흔들렸던 눈빛도 그 방향도
혼자만의 생각에 머물던 우울도 모든 슬픔도
데려가 줘 날 밀어내 줘

오오 내 안에
그 두려운 공간 속에
매일 조금씩 날 외면하던 순간들

오오 너 부디
다른 사람을 사랑할 때
바랬던 나를 나빴던 나를 지워내줘 uh

내 빛바랜 날들도, 상처도
기나긴 터널에 갇혀버린 기억도 생각도
채울수록 비워진 내 작은 마음도 젖어서
다시 흩어진 시간에 녹아내려 아픈걸 너무 아픈 걸
돌아와 줘 날 데려가 줘"
160,한승윤,얼마나 좋을까 (Solo Ver.),"오늘 같은 하늘을 보면
오늘 같은 바람이 불면
눌러놨던 마음이
자꾸 고개를 들어
온 세상이 나를 흔들어
친구들도 나를 부추겨
너와 내가 있으면
둘이 잘 어울린다고
I wanna fly away
I wanna be with you
And I’m dreaming again
I wanna be with you
정말 바란 것도 없었던 내가
그저 네가 좋았던 내가
점점 기대하고 있잖아
너와 점심을 먹고
볕이 좋은 카페를 찾아가고
이렇고 저런 얘길 나누고 막 웃고
해 질 녘 길거리를 같이 거닐고
너의 집 앞에서 인사를 나누고 woh
얼마나 좋을까 woh
어리숙한 나의 말투는
너를 좋아한다는 증거
떨고 있니 지금 나
그럼 손을 잡아 줄래
I wanna fly away
I wanna be with you
And I’m dreaming again
I wanna be with you
매일 상상 속에 있었던 니가
꿈에 서나 만났던 니가
나와 길을 걷고 있잖아
너와 점심을 먹고
볕이 좋은 카페를 찾아가고
이렇고 저런 얘길 나누고 막 웃고
해 질 녘 길거리를 같이 거닐고
너의 집 앞에서 인사를 나누고
어떤 말 할까
지금 말할까
너도 말할까
내게 말할까
못다 했던 얘기
이렇게 널 사랑하고 있다는 말
성급할지라도 그게 내 맘인 걸
너와 저녁을 먹고
노을이 좋은 곳을 찾아가고
이렇고 저런 얘길 나누다 입맞춤
함께 갈 여행지를 같이 고르고
너와 영원토록 사랑을 나누고
I wanna be with you"
161,DOKO (도코),Love beyond words,"When I look at you
it is quite very strange
that my heart goes pit-a-pat
I wasn’t sure enough
until now I could fall in love with you
And then I met you
I start to get strong
When I look at you
I don’t know what to do
cause you give me butterflies
I wasn’t sure enough
until now to fall in love
with someone
But you came here like destiny
Love is beyond words
it is not as simple as we think
If you really love
with all your heart
I will try not to hurt
your tender heart
by any chance
I will always stay by your side
Want to know how
to make you feel better
when you’re having a hard time
I’m walking down the road
suddenly a flower resembles you
and now I really miss you more
Love is beyond words
it is not as simple as we think
If you really love
with all your heart
I will try not to hurt
your tender heart
by any chance
I will always stay by your side
When I look at you it is you
who make me smile for no reason
I don’t know how to say
but my heart trembles
when I see you again
Love is beyond words
it is not as simple as we think
You cannot be replaced
in any words that it exists
A more beautiful heart
than anyone else
I will try not to hurt
your tender heart
by any chance
I will keep my promise to you"
162,안다은,I'LL BE THERE,"You're not here with me
늦어버린 걸까
너무 오래 헤맨 걸까
잔잔한 바람에 더 짙어지는 건
빛나는 너와 우리
I'll be there even
if you don't come
이젠 내가 기다릴게
긴 시간이 지나가도
내가 널 꼭 알아볼게
I'll be there I'll be there
You're not here with me
어디에 있는 걸까
혹시 내가 놓친 걸까
드넓은 밤 위로 넘치게 흐르는 건
빛나는 우리 기억
I'll be there even
if you don't come
이젠 내가 기다릴게
긴 시간이 지나가도
내가 널 꼭 알아볼게
I'll be there I'll be there
I'll be there even
if you don't come
이젠 내가 기다릴게
긴 시간이 지나가도
내가 널 꼭 알아볼게
I'll be there I'll be there
I'll be there even
if you don't come
이젠 내가 기다릴게
I'll be there even
if you don't come"
